ID,Departure,Arrival,Duration,Departure_City,Arrival_City
a6bcc687-8c73-4b5f-b3a2-67506cb5bf10,Magneux-Courlandon,Mohon,36,MAGNEUX,CHARLEVILLE-MEZIERES
db561ab6-afb9-4329-a025-32a1de4cf349,Magneux-Courlandon,Charleville-Mézières,36,MAGNEUX,CHARLEVILLE-MEZIERES
dd8b32c8-8a46-48f2-9748-2f1d98033e23,Magneux-Courlandon,Nouzonville,39,MAGNEUX,NOUZONVILLE
1f1e573d-dc45-4bff-a48f-f14447ccbb0a,Magneux-Courlandon,Joigny-sur-Meuse,40,MAGNEUX,JOIGNY-SUR-MEUSE
794d99a1-809b-4b17-b236-e6e10c0b39dc,Magneux-Courlandon,Bogny-sur-Meuse,42,MAGNEUX,BOGNY-SUR-MEUSE
091dd039-b6c9-4003-b808-130b56bf1fbf,Magneux-Courlandon,Monthermé,42,MAGNEUX,BOGNY-SUR-MEUSE
31df1119-94f8-47a5-a059-da954ea712a4,Magneux-Courlandon,Deville,43,MAGNEUX,DEVILLE
9ea5dde2-695a-4a20-accf-a816323fd7ac,Magneux-Courlandon,Laifour,45,MAGNEUX,LAIFOUR
e52ad113-6d86-4c81-9661-b6c95886588e,Magneux-Courlandon,Anchamps,46,MAGNEUX,ANCHAMPS
9d98b4e7-bd28-464f-9354-fbd3f3f4e94c,Magneux-Courlandon,Revin,47,MAGNEUX,REVIN
a2f105de-098a-4b25-9a6d-cba64cc433e4,Magneux-Courlandon,Fumay,50,MAGNEUX,FUMAY
b2cecd74-6a37-401f-8c18-4c933f713a47,Magneux-Courlandon,Haybes,51,MAGNEUX,HAYBES
78ea1a25-4203-4560-b072-c8a4dae0a3b5,Magneux-Courlandon,Fépin,52,MAGNEUX,FEPIN
a8a98a6a-29b5-49cb-b299-40174fc6bf0c,Magneux-Courlandon,Vireux-Molhain,54,MAGNEUX,VIREUX-MOLHAIN
eb34add0-81fe-4300-aacd-0b7c3eefd126,Magneux-Courlandon,Aubrives,55,MAGNEUX,AUBRIVES
3c2c18fa-b8bd-4d83-be8b-14002b3d54ef,Magneux-Courlandon,Givet,58,MAGNEUX,GIVET
2fcaf1ba-522a-4c26-a913-c755de1d8351,Breuil-Romain,Lavannes-Caurel,10,BREUIL-SUR-VESLE,CAUREL
07bb88f3-34b6-4745-9fc6-8bfe455ec12c,Breuil-Romain,Bazancourt,12,BREUIL-SUR-VESLE,BAZANCOURT
f675271f-1965-4a0e-9d19-05b9481f2cc4,Breuil-Romain,Rethel,19,BREUIL-SUR-VESLE,RETHEL
ac69cc2a-54a2-47f6-b3f2-99f30d14881a,Breuil-Romain,Amagne-Lucquy,22,BREUIL-SUR-VESLE,LUCQUY
b6057619-ad06-40f0-bc3c-39925d018a5c,Breuil-Romain,Poix-Terron,30,BREUIL-SUR-VESLE,POIX-TERRON
67a212c9-67c3-4d83-b7b5-ed250ae4da4f,Breuil-Romain,Mohon,35,BREUIL-SUR-VESLE,CHARLEVILLE-MEZIERES
7774b369-454d-404a-8306-aae8e8cbc25f,Breuil-Romain,Charleville-Mézières,36,BREUIL-SUR-VESLE,CHARLEVILLE-MEZIERES
166f3ea7-b534-4a86-b637-c5a5ffb36580,Breuil-Romain,Nouzonville,38,BREUIL-SUR-VESLE,NOUZONVILLE
7ee1cf7e-870e-412f-87a5-67699b6366a1,Breuil-Romain,Joigny-sur-Meuse,39,BREUIL-SUR-VESLE,JOIGNY-SUR-MEUSE
ff52505c-592c-40e6-bc34-893f4db1ada7,Breuil-Romain,Bogny-sur-Meuse,41,BREUIL-SUR-VESLE,BOGNY-SUR-MEUSE
a058c05c-4464-4b98-9b9c-b9095f7fda99,Breuil-Romain,Monthermé,41,BREUIL-SUR-VESLE,BOGNY-SUR-MEUSE
6ef0e902-2038-453c-9460-8d113a98c194,Breuil-Romain,Deville,43,BREUIL-SUR-VESLE,DEVILLE
e564494b-014f-41d6-abb0-9194f5361142,Breuil-Romain,Laifour,44,BREUIL-SUR-VESLE,LAIFOUR
e26bee77-0bd0-4a03-8cb8-1eeee4d5a4a1,Breuil-Romain,Anchamps,45,BREUIL-SUR-VESLE,ANCHAMPS
028e4a8b-2798-462c-80c0-20828c59f6a0,Breuil-Romain,Revin,47,BREUIL-SUR-VESLE,REVIN
17a54df9-fcc0-4f41-bc1b-4586db62b4c2,Breuil-Romain,Fumay,49,BREUIL-SUR-VESLE,FUMAY
d08f55f4-6696-4700-ae9d-37577d75a19f,Breuil-Romain,Haybes,50,BREUIL-SUR-VESLE,HAYBES
807f86f3-90a2-41a1-903c-2052cf75f09a,Breuil-Romain,Fépin,51,BREUIL-SUR-VESLE,FEPIN
04fda205-8618-47d4-8adc-00fd7ad16b8d,Breuil-Romain,Vireux-Molhain,53,BREUIL-SUR-VESLE,VIREUX-MOLHAIN
ae8fddfa-4b10-453c-b050-2761615e3f3e,Breuil-Romain,Aubrives,55,BREUIL-SUR-VESLE,AUBRIVES
ca15388b-8e34-4926-9cb8-3c93956e964e,Breuil-Romain,Givet,57,BREUIL-SUR-VESLE,GIVET
4db12fe1-d75d-493b-873f-497a3608f426,Jonchery-sur-Vesle,Bazancourt,10,JONCHERY-SUR-VESLE,BAZANCOURT
5f4f6375-7e84-40bb-bf9a-d7630e026ea3,Jonchery-sur-Vesle,Rethel,18,JONCHERY-SUR-VESLE,RETHEL
70df76bf-3c3a-4635-8b07-a01531db8f0f,Jonchery-sur-Vesle,Amagne-Lucquy,21,JONCHERY-SUR-VESLE,LUCQUY
3f752a5e-5f9f-43cd-8e69-b09a6e4ed989,Jonchery-sur-Vesle,Poix-Terron,29,JONCHERY-SUR-VESLE,POIX-TERRON
22527bf4-99c3-4de3-a718-d3fb32789dd9,Jonchery-sur-Vesle,Mohon,33,JONCHERY-SUR-VESLE,CHARLEVILLE-MEZIERES
