ID,Departure,Arrival,Duration,Departure_City,Arrival_City
5fa7c157-3402-4bc9-aaf7-7bec0f34c372,Myennes,Varennes-sur-Allier,50,MYENNES,VARENNES-SUR-ALLIER
4855d026-cf2a-4a0a-a1f1-f084df2c2ba9,Myennes,St-Germain-des-Fossés,54,MYENNES,SAINT-GERMAIN-DES-FOSSES
e86ab836-7d3e-4678-a813-5721e8640a41,Myennes,Roanne,76,MYENNES,ROANNE
9c191fd0-fee1-4409-bf20-9db4bbebd6f3,Myennes,Le Coteau,77,MYENNES,LE COTEAU
cf257701-4b5f-4640-bcdc-fc16b416a1be,Myennes,St-Jodard,83,MYENNES,SAINT-JODARD
6d3e87d1-ce55-4b82-8c4c-1329e88545a5,Myennes,Balbigny,87,MYENNES,BALBIGNY
625e03a6-c0c2-4d3f-bae6-52025ee9809e,Myennes,Feurs,90,MYENNES,FEURS
2f15182f-84a6-4361-bf79-2efe84e6b726,Myennes,Montrond-les-Bains,93,MYENNES,MONTROND-LES-BAINS
65323fed-1481-40da-be99-a925b47e7c74,Myennes,Veauche-St-Galmier,97,MYENNES,VEAUCHE
e1c0e48e-1e27-4a98-b671-c27c61841d9c,Myennes,Bouthéon,98,MYENNES,ANDREZIEUX-BOUTHEON
1eb72d86-02e8-4204-9c07-fb82499f4ce6,Myennes,La Fouillouse,100,MYENNES,LA FOUILLOUSE
bc016488-856b-42c5-88fc-00957e92dfb3,Myennes,St-Étienne-La Terrasse,102,MYENNES,SAINT-ETIENNE
96e44588-3ad1-44dd-8cc9-27ac8ef9e12e,Myennes,St-Étienne-Châteaucreux,103,MYENNES,SAINT-ETIENNE
72697832-4167-4e59-80be-ab8262836d05,Myennes,St-Étienne-Pont-de-l'Âne,104,MYENNES,SAINT-ETIENNE
cc5446d7-3e7b-43b2-9017-bc60ca787eb6,Myennes,Terrenoire,104,MYENNES,SAINT-ETIENNE
1389bc69-bd88-45db-8ea7-857127507f01,Myennes,St-Chamond,107,MYENNES,SAINT-CHAMOND
e1b9dfd9-98a1-4877-b968-65a96d412865,Myennes,Rive-de-Gier,110,MYENNES,RIVE-DE-GIER
6f60bf98-e4b5-4848-9c70-bdf3b0ab5453,Myennes,Couzon (Loire),111,MYENNES,RIVE-DE-GIER
0c36083f-6388-475d-9d59-e8253bb585f6,Myennes,Givors,115,MYENNES,GIVORS
6714dc4f-653a-46ed-8a85-9f9c20869c53,Myennes,Givors,115,MYENNES,GIVORS
2afcd989-f55c-41cc-81d3-3c4f62a5ad97,Myennes,Givors-Canal,116,MYENNES,GIVORS
a117bcca-6a18-4016-9f1d-38327e3cbbbf,Myennes,Badan,116,MYENNES,GRIGNY
3cf0bb41-cc19-43b4-9281-907fe8ea3a9c,Myennes,Le Sablon,116,MYENNES,GRIGNY
ab23a0cc-f87c-472c-af0c-842624d49496,Myennes,Vernaison,118,MYENNES,VERNAISON
1d6de481-f9ce-40a8-8eab-eec72366a2b4,Myennes,Irigny-Yvours,120,MYENNES,IRIGNY
4ea65c2c-3f99-4e9c-8717-9141ce8788c4,Myennes,Pierre-Bénite,120,MYENNES,PIERRE-BENITE
ca15008c-54b5-4c5b-b4d4-78d3b53b2b0d,Myennes,Oullins,121,MYENNES,OULLINS
68a54f76-0efa-4907-b030-5d49ee8747a0,Myennes,Lyon-Perrache,122,MYENNES,LYON
3d06536d-fdc7-43ba-bdd5-2c2aed32dbac,Cosne-sur-Loire,La Charité-sur-Loire,10,COSNE-COURS-SUR-LOIRE,LA CHARITE-SUR-LOIRE
