trip_id,Departure,Arrival,Duration,Departure_City,Arrival_City
OCESN879218F0200249021,Gare de Avignon-Centre,Gare de Avignon-TGV,5,Morières-lès-Avignon,Avignon
OCESN879301F0200249023,Gare de Avignon-Centre,Gare de Carpentras,28,Morières-lès-Avignon,Carpentras
OCESN879302F0200249024,Gare de Avignon-TGV,Gare de Carpentras,41,Avignon,Carpentras
OCESN879305F0200249030,Gare de Avignon-TGV,Gare de Marseille-St-Charles,133,Avignon,Marseille
OCESN879606F1001049186,Gare de Cavaillon,Gare de Marseille-St-Charles,70,Cavaillon,Marseille
OCESN879660F0100149261,Gare de Gardanne,Gare de Marseille-St-Charles,36,Gardanne,Marseille
OCESN880106F0500549348,Gare de Aix-en-Provence,Gare de Manosque-Gréoux,45,Aix-en-Provence,Manosque
OCESN880670F0200249467,Gare de Manosque-Gréoux,Gare de Marseille-St-Charles,95,Manosque,Marseille
OCESN880671F0300349469,Gare de Aubagne,Gare de Marseille-St-Charles,31,Aubagne,Marseille
OCESN881005F0400449474,Gare de Aubagne,Gare de Marseille-Blancarde,22,Aubagne,Marseille
OCESN881060F0300349503,Gare de Cannes,Gare de Menton,69,Cannes,Menton
OCESN881106F0100149530,Gare de Antibes,Gare de Grasse,41,Antibes,Vallauris
OCESN881139F0200249555,Gare de Cannes,Gare de Les Arcs-Draguignan,55,Cannes,Les Arcs
OCESN881251F0300349560,Gare de Cannes,Gare de St-Raphaël-Valescure,38,Cannes,Agou Yiboe
OCESN881270F0200249568,Gare de Hyères,Gare de Marseille-St-Charles,84,Hyères,Marseille
OCESN881600F0100149625,Gare de Hyères,Gare de Toulon,21,Hyères,Toulon
OCESN881646F0500549709,Gare de Les Arcs-Draguignan,Gare de Toulon,60,Les Arcs,Toulon
OCESN881652F0300349716,Gare de Carnoules,Gare de Toulon,31,Carnoules,Toulon
OCESN881669F0500549733,Gare de Marseille-St-Charles,Gare de Menton,205,Marseille,Menton
OCESN881751F0500549749,Gare de Ambérieu-en-Bugey,Gare de Mâcon-Ville,54,Ambérieu-en-Bugey,Mâcon
