trip_id,Departure,Arrival,Duration,Departure_City,Arrival_City
OCESN017751F0800816699,Gare de Lyon-Part-Dieu,Gare de Sens,262,Lyon,Saint-Loup-d'Ordon
OCESN017753F1901916708,Gare de Lyon-Part-Dieu,Gare de Paris-Bercy,308,Lyon,Paris
OCESN017753F4304316713,Gare de Dijon-Ville,Gare de Lyon-Part-Dieu,124,Dijon,Lyon
OCESN017753F4804816704,Gare de Lyon-Part-Dieu,Gare de Paris-Gare-de-Lyon,309,Lyon,Paris
OCESN017754F2002016721,Gare de Mâcon-Ville,Gare de Paris-Bercy,262,Mâcon,Paris
OCESN017754F2602616715,Gare de Dijon-Ville,Gare de Mâcon-Ville,74,Dijon,Mâcon
OCESN017754F4004016716,Gare de Mâcon-Ville,Gare de Paris-Gare-de-Lyon,263,Mâcon,Paris
OCESN017774F1301316842,Gare de Lyon-Perrache,Gare de Paris-Bercy,324,Lyon,Paris
OCESN017775F2502516851,Gare de Dijon-Ville,Gare de Lyon-Perrache,137,Dijon,Lyon
OCESN017775F2902916854,Gare de Lyon-Perrache,Gare de Paris-Gare-de-Lyon,323,Lyon,Paris
OCESN017972F0600616926,Gare de Bourg-St-Maurice,Gare de Lyon-Part-Dieu,217,Bourg-Saint-Maurice,Lyon
