ID,Departure,Arrival,Duration,Departure_City,Arrival_City
05e989f6-a087-422d-bd0c-6ec1236e3e5d,Caulnes,Yffiniac,15,CAULNES,YFFINIAC
a9d9adf2-6cc2-47b3-a094-a6614087ae07,Caulnes,St-Brieuc,18,CAULNES,SAINT-BRIEUC
ce0102b3-5f15-4fde-8943-24dd04e76fa0,Caulnes,La Méaugon,20,CAULNES,LA MEAUGON
9336a2ae-41c2-4467-a3a3-20dce7c54b82,Caulnes,Plouvara-Plerneuf,21,CAULNES,PLOUVARA
7eaf6f38-cf63-4dc7-82a5-ada408dbb9a8,Caulnes,Châtelaudren-Plouagat,24,CAULNES,CHATELAUDREN-PLOUAGAT
df1886ce-5d25-40ea-b7ad-05cd0776d7ae,Caulnes,Guingamp,28,CAULNES,GUINGAMP
20c7cb8f-8e0e-40cf-b8ec-e61316daf3c1,Caulnes,Belle-Isle-Bégard,33,CAULNES,LOUARGAT
0c673d5d-6b39-4125-aa4f-a87134edd112,Caulnes,Plouaret-Trégor,37,CAULNES,LE VIEUX-MARCHE
c8103054-d4c2-4b4a-b65c-6ab3da453815,Caulnes,Plounérin,39,CAULNES,PLOUNERIN
becfcb9d-db58-4328-9b30-b459f2070358,Caulnes,Plouigneau,44,CAULNES,PLOUIGNEAU
76125e29-69e4-4300-89c6-8acc0659e375,Caulnes,Morlaix,47,CAULNES,MORLAIX
3052f4b2-264e-4ee3-80a0-e6fda0ced4e4,Caulnes,Pleyber-Christ,50,CAULNES,PLEYBER-CHRIST
c06ccc55-e1c7-493b-8b4b-eb86fb44f1aa,Caulnes,St-Thégonnec,52,CAULNES,SAINT-THEGONNEC LOC-EGUINER
253ad50d-a51e-415a-aa21-f0b9c665a1ef,Caulnes,Guimiliau,54,CAULNES,GUIMILIAU
881f7d50-0e87-48dd-a93c-f65cca2e1b5c,Caulnes,Landivisiau,56,CAULNES,LANDIVISIAU
f6c0d6ce-1cb8-432b-a830-279776666886,Caulnes,La Roche-Maurice,59,CAULNES,LA ROCHE-MAURICE
188bb1cf-f3f7-4d7c-b782-475c58cf7b0c,Caulnes,Landerneau,61,CAULNES,LANDERNEAU
5b751e8e-e96a-407e-b8be-ec9cd2f08050,Caulnes,La Forest,62,CAULNES,LA FOREST-LANDERNEAU
86efd751-9af3-42e1-a905-281b5fd19e86,Caulnes,Kerhuon,65,CAULNES,LE RELECQ-KERHUON
b578a809-c057-48e5-9b1c-8addd2b6562c,Caulnes,Brest,67,CAULNES,BREST
c12dc5dd-8d69-4405-a8f9-6016450dd367,Broons,Yffiniac,12,BROONS,YFFINIAC
fa458033-e4bd-4ce0-a019-f0a1552773eb,Broons,St-Brieuc,15,BROONS,SAINT-BRIEUC
fd478e37-8985-4fab-8f00-92c278e6386e,Broons,La Méaugon,17,BROONS,LA MEAUGON
885e9bdb-6c38-401f-9e80-25e62d958327,Broons,Plouvara-Plerneuf,19,BROONS,PLOUVARA
03852721-12bb-49e6-ab2c-61347407dd5a,Broons,Châtelaudren-Plouagat,21,BROONS,CHATELAUDREN-PLOUAGAT
159345d5-a1da-487e-94b0-50c7a562b245,Broons,Guingamp,25,BROONS,GUINGAMP
635f00d5-0770-4cad-8b54-bd7f538d1ba4,Broons,Belle-Isle-Bégard,30,BROONS,LOUARGAT
6056bd13-ccb9-4db0-ac36-0e13ffc32242,Broons,Plouaret-Trégor,34,BROONS,LE VIEUX-MARCHE
9fbf727a-746c-4551-b7f3-6ba3345c0574,Broons,Plounérin,37,BROONS,PLOUNERIN
f1b39b62-21ce-41f4-9ab1-9d182a988f21,Broons,Plouigneau,41,BROONS,PLOUIGNEAU
5f889932-372c-4dec-ab49-a6b121200765,Broons,Morlaix,44,BROONS,MORLAIX
bb26edff-4a09-4354-b0f6-b8cffa4665bc,Broons,Pleyber-Christ,48,BROONS,PLEYBER-CHRIST
ec582532-990d-458d-8cdc-1fcfbcac0dd3,Broons,St-Thégonnec,49,BROONS,SAINT-THEGONNEC LOC-EGUINER
ed363e1f-5fc6-4eb9-ae31-361712326c81,Broons,Guimiliau,51,BROONS,GUIMILIAU
40e5f778-2569-4121-bd2c-cbee2f6ebb62,Broons,Landivisiau,53,BROONS,LANDIVISIAU
51f41de4-1430-43a0-ab2a-b9dfff21d460,Broons,La Roche-Maurice,57,BROONS,LA ROCHE-MAURICE
6c36878e-9e0e-4fb3-b45a-fb231fc69814,Broons,Landerneau,58,BROONS,LANDERNEAU
d15ce66f-e682-47e9-ba54-659680f80f6b,Broons,La Forest,60,BROONS,LA FOREST-LANDERNEAU
277a2829-a53e-4d28-80e7-407e60948a60,Broons,Kerhuon,62,BROONS,LE RELECQ-KERHUON
d2baf232-4c60-4360-a866-728934872b1e,Broons,Brest,64,BROONS,BREST
7b2491bb-54a8-4ccc-b98b-5c27c2bfd313,Plénée-Jugon,St-Brieuc,12,PLENEE-JUGON,SAINT-BRIEUC
01b0abcb-f23d-4ea5-b3eb-ea5bb5b6e50b,Plénée-Jugon,La Méaugon,14,PLENEE-JUGON,LA MEAUGON
5b748af2-7c3d-49a6-a47e-e27925528593,Plénée-Jugon,Plouvara-Plerneuf,15,PLENEE-JUGON,PLOUVARA
d95839f6-3005-4069-9428-b8deac596d08,Plénée-Jugon,Châtelaudren-Plouagat,17,PLENEE-JUGON,CHATELAUDREN-PLOUAGAT
6db4d99c-5525-4c83-ad64-c71343079818,Plénée-Jugon,Guingamp,22,PLENEE-JUGON,GUINGAMP
66bec8f5-5dc9-4f18-a368-f8296c234bab,Plénée-Jugon,Belle-Isle-Bégard,27,PLENEE-JUGON,LOUARGAT
7d19467b-1bf6-4085-8e74-910798a6aa2f,Plénée-Jugon,Plouaret-Trégor,30,PLENEE-JUGON,LE VIEUX-MARCHE
379dde82-8b77-4d37-b7a5-4cd2c1663dd6,Plénée-Jugon,Plounérin,33,PLENEE-JUGON,PLOUNERIN
c79db857-d41c-497c-a4f1-858ca4721c0e,Plénée-Jugon,Plouigneau,38,PLENEE-JUGON,PLOUIGNEAU
e64b5354-7883-49e3-8e78-a9e7615209b5,Plénée-Jugon,Morlaix,41,PLENEE-JUGON,MORLAIX
01c401a4-1654-4640-9c33-16bfdc5679be,Plénée-Jugon,Pleyber-Christ,44,PLENEE-JUGON,PLEYBER-CHRIST
e27d3d93-1a62-4c78-b6e0-eec3dc1d5e8f,Plénée-Jugon,St-Thégonnec,46,PLENEE-JUGON,SAINT-THEGONNEC LOC-EGUINER
7d96a256-849a-49ae-affc-4690777a0c89,Plénée-Jugon,Guimiliau,47,PLENEE-JUGON,GUIMILIAU
bb988aa9-db84-4365-b0c2-d6cb4f724c30,Plénée-Jugon,Landivisiau,50,PLENEE-JUGON,LANDIVISIAU
5575f97e-6901-4eaf-b61a-0590e5429ecf,Plénée-Jugon,La Roche-Maurice,53,PLENEE-JUGON,LA ROCHE-MAURICE
a7fd3707-8d35-4f5c-b3a8-7a6db4ffa73d,Plénée-Jugon,Landerneau,55,PLENEE-JUGON,LANDERNEAU
e0c8a531-6b3b-4fb0-81b3-7479c975159d,Plénée-Jugon,La Forest,56,PLENEE-JUGON,LA FOREST-LANDERNEAU
5a84c4c4-8acd-4f11-a97b-9324774275b0,Plénée-Jugon,Kerhuon,58,PLENEE-JUGON,LE RELECQ-KERHUON
28b85c8b-30f1-4e6d-bd59-c9e3c025382a,Plénée-Jugon,Brest,61,PLENEE-JUGON,BREST
df211465-f729-4ce0-b201-21318d55704b,Plestan,La Méaugon,11,PLESTAN,LA MEAUGON
df5b7676-4be0-4cfb-adb2-dc997b747854,Plestan,Plouvara-Plerneuf,12,PLESTAN,PLOUVARA
ab51034e-8307-46ed-bea6-4a494b2bb134,Plestan,Châtelaudren-Plouagat,14,PLESTAN,CHATELAUDREN-PLOUAGAT
79c17575-f83d-40d3-95e0-56de030ff3fb,Plestan,Guingamp,19,PLESTAN,GUINGAMP
1b100f58-9eeb-48ed-a618-c207b7c8f365,Plestan,Belle-Isle-Bégard,24,PLESTAN,LOUARGAT
edb48ea1-ff13-465b-b8bb-0c8852cec358,Plestan,Plouaret-Trégor,27,PLESTAN,LE VIEUX-MARCHE
19e64ace-c21b-4843-9e32-3c4bbf81ef7c,Plestan,Plounérin,30,PLESTAN,PLOUNERIN
4c57f606-a872-4bc4-8774-c883275560fe,Plestan,Plouigneau,35,PLESTAN,PLOUIGNEAU
9fc4b55b-4da2-4816-b498-ea9bafd03f20,Plestan,Morlaix,38,PLESTAN,MORLAIX
bfcbbf5b-6a2f-4a05-9f37-9221b993b2b0,Plestan,Pleyber-Christ,41,PLESTAN,PLEYBER-CHRIST
e34a99ba-1af0-4e0a-9400-1944b4a70dd2,Plestan,St-Thégonnec,43,PLESTAN,SAINT-THEGONNEC LOC-EGUINER
b5a426f4-c318-4c38-93e9-ce3f12e5805d,Plestan,Guimiliau,44,PLESTAN,GUIMILIAU
efba0630-c49f-4329-ae04-9df2166bc653,Plestan,Landivisiau,47,PLESTAN,LANDIVISIAU
35735a0e-8e70-4c68-87c6-f33014986d38,Plestan,La Roche-Maurice,50,PLESTAN,LA ROCHE-MAURICE
5f30142d-377a-4a2f-a598-2d7441cf6096,Plestan,Landerneau,52,PLESTAN,LANDERNEAU
cc1229b2-b217-41a1-a554-b4fe59dfd79d,Plestan,La Forest,53,PLESTAN,LA FOREST-LANDERNEAU
38aac4d5-1a7d-471a-8863-91f9f6e95c52,Plestan,Kerhuon,56,PLESTAN,LE RELECQ-KERHUON
5dd6230c-3e56-49da-90aa-4e50257fee4f,Plestan,Brest,58,PLESTAN,BREST
763f9082-5fba-48dc-8085-2fad22582d9b,Lamballe,Plouvara-Plerneuf,10,LAMBALLE-ARMOR,PLOUVARA
c8d108a4-5ec4-46a1-b567-df4ec82e94a1,Lamballe,Châtelaudren-Plouagat,12,LAMBALLE-ARMOR,CHATELAUDREN-PLOUAGAT
bd7c6dbb-4c3c-4274-b8db-a2e0e11bade8,Lamballe,Guingamp,16,LAMBALLE-ARMOR,GUINGAMP
576aa824-bff7-4e44-82e8-99d621479b07,Lamballe,Belle-Isle-Bégard,21,LAMBALLE-ARMOR,LOUARGAT
ccbb5c9f-9e57-49fd-9603-7cdbe3fb1cd4,Lamballe,Plouaret-Trégor,25,LAMBALLE-ARMOR,LE VIEUX-MARCHE
0adae64d-ba5b-466b-8352-368baefd5dcc,Lamballe,Plounérin,28,LAMBALLE-ARMOR,PLOUNERIN
c55213c0-92b6-4d8a-bde5-5a3b7afe7053,Lamballe,Plouigneau,33,LAMBALLE-ARMOR,PLOUIGNEAU
cea800ea-0b82-4466-a0df-e9b701d695c2,Lamballe,Morlaix,36,LAMBALLE-ARMOR,MORLAIX
1d4db303-6aff-416a-b168-7ec1aef0eee9,Lamballe,Pleyber-Christ,39,LAMBALLE-ARMOR,PLEYBER-CHRIST
