ID,Departure,Arrival,Duration,Departure_City,Arrival_City
a1f03f1d-431f-4867-996d-0c913f5f54e5,Le Mée,Entressen,254,LE MEE-SUR-SEINE,ISTRES
4520a2b4-5dfc-4932-8b2c-8b399158593f,Le Mée,Miramas,255,LE MEE-SUR-SEINE,MIRAMAS
88e92f20-68b6-40c9-b35a-bb7a25e48abb,Le Mée,St-Chamas,257,LE MEE-SUR-SEINE,SAINT-CHAMAS
135cdd38-faa7-4ab6-aee2-0658df20d25e,Le Mée,Berre,262,LE MEE-SUR-SEINE,BERRE-L'ETANG
9048d62d-ef2f-4031-842b-7d141bfa36a7,Le Mée,Rognac,264,LE MEE-SUR-SEINE,ROGNAC
f684ca15-2704-49bc-b90a-17f7121cdc5d,Le Mée,Vitrolles-Aéroport-Marseille-Provence,266,LE MEE-SUR-SEINE,VITROLLES
eb4d5ace-b148-453a-9e38-1495d61d4406,Le Mée,Pas-des-Lanciers,267,LE MEE-SUR-SEINE,MARIGNANE
26ecc518-07ec-4812-b81d-77b652728c4d,Le Mée,L'Estaque,270,LE MEE-SUR-SEINE,MARSEILLE
d77e111e-c560-494d-bee6-f8ae8a41789d,Le Mée,Séon-St-Henry,270,LE MEE-SUR-SEINE,MARSEILLE
72e97f98-a590-4283-a293-9beeb35dd4e6,Le Mée,St-Louis-les-Aygalades,271,LE MEE-SUR-SEINE,MARSEILLE
18c861e1-4235-49f9-8e36-c4b80c165bcf,Le Mée,Marseille-St-Charles,273,LE MEE-SUR-SEINE,MARSEILLE
a0a90b95-4b59-4ddd-b573-1035d13941f3,Melun,Montereau,11,MELUN,MONTEREAU-FAULT-YONNE
7344bd96-e14b-4c64-b46a-d7652cb63f7d,Melun,Villeneuve-la-Guyard,15,MELUN,VILLENEUVE-LA-GUYARD
df264dac-750b-4bb4-b8b6-6b70682cea4c,Melun,Champigny-sur-Yonne,16,MELUN,CHAMPIGNY
241145bd-9a6c-43b8-a4a9-b96188a0d20d,Melun,Pont-sur-Yonne,19,MELUN,PONT-SUR-YONNE
41e12eef-8f5c-4b4a-882a-d6def2bacd9e,Melun,Sens,22,MELUN,SENS
7c15922a-3a87-4a54-91c3-e1ff4595324e,Melun,Étigny-Véron,25,MELUN,ETIGNY
971933f2-b422-4cb3-acce-84bdbadabe8d,Melun,Villeneuve-sur-Yonne,27,MELUN,VILLENEUVE-SUR-YONNE
3da2d571-9e3d-40ef-be51-df2a7bae0fb5,Melun,St-Julien-du-Sault,30,MELUN,SAINT-JULIEN-DU-SAULT
8f4adee5-b779-48dd-8e0f-0fdc6da4b460,Melun,Joigny,33,MELUN,JOIGNY
34f49ffa-5146-483a-97b4-6f696a54ee1d,Melun,Laroche-Migennes,36,MELUN,MIGENNES
fc1ee9e0-7622-4ebf-bd0f-d9262a0ace18,Melun,Brienon,39,MELUN,BRIENON-SUR-ARMANCON
5cd8b12e-b300-4d28-9738-58a68b559857,Melun,St-Florentin-Vergigny,42,MELUN,VERGIGNY
211e74ab-4869-4a54-a11d-8bc9205efb38,Melun,Tonnerre,50,MELUN,TONNERRE
5824a7e9-32aa-4e4f-b550-b36afc14b92b,Melun,Port-Sec-de-Pacy,56,MELUN,PACY-SUR-ARMANCON
a4f9b2a6-129c-44b3-8875-aa7307ed2dfe,Melun,Nuits-sous-Ravières,60,MELUN,NUITS
